species	ID	Plot	biomass_across_years	div	sp_plot	species_div_mean	resid_species_div	plotID
DauCar	32-M1	B1A11	0	16	DauCar_M1	0	0	M1
DauCar	32-M2	B1A14	0	8	DauCar_M2	0	0	M2
GalMol	29-H1	B1A22	34.3677777777778	60	GalMol_H1	23.5123611111111	10.8554166666667	H1
GalMol	29-H2	B2A03	16.6705555555556	60	GalMol_H2	23.5123611111111	-6.84180555555555	H2
GalMol	29-H3	B3A14	21.7852777777778	60	GalMol_H3	23.5123611111111	-1.72708333333333	H3
GalMol	29-H4	B4A01	21.2258333333333	60	GalMol_H4	23.5123611111111	-2.28652777777778	H4
GalMol	29-L1	B3A01	114.081111111111	1	GalMol_L1	114.081111111111	0	L1
GalMol	29-M1	B3A22	41.1080555555556	16	GalMol_M1	26.6956481481481	14.4124074074074	M1
GalMol	29-M2	B1A11	30.8522222222222	16	GalMol_M2	26.6956481481481	4.15657407407407	M2
GalMol	29-M3	B2A21	31.4861111111111	8	GalMol_M3	26.5106944444444	4.97541666666667	M3
GalMol	29-M4	B2A12	21.5352777777778	8	GalMol_M4	26.5106944444444	-4.97541666666667	M4
GalMol	29-M5	B4A02	8.12666666666667	16	GalMol_M5	26.6956481481481	-18.5689814814815	M5
GerPra	11-H1	B1A22	12.8197222222222	60	GerPra_H1	38.1959027777778	-25.3761805555555	H1
GerPra	11-H2	B2A03	42.8872222222222	60	GerPra_H2	38.1959027777778	4.69131944444445	H2
GerPra	11-H3	B3A14	49.3933333333333	60	GerPra_H3	38.1959027777778	11.1974305555556	H3
GerPra	11-H4	B4A01	47.6833333333333	60	GerPra_H4	38.1959027777778	9.48743055555556	H4
GerPra	11-L1	B2A04	16.9313888888889	1	GerPra_L1	16.9313888888889	0	L1
GerPra	11-L2	B4A22	29.0322222222222	4	GerPra_L2	29.0322222222222	0	L2
GerPra	11-M1	B3A22	30.7547222222222	16	GerPra_M1	14.4258333333333	16.3288888888889	M1
GerPra	11-M2	B1A11	21.1280555555556	16	GerPra_M2	14.4258333333333	6.70222222222222	M2
GerPra	11-M3	B2A12	15.1347222222222	8	GerPra_M3	15.1347222222222	0	M3
GerPra	11-M4	B2A18	5.47111111111111	16	GerPra_M4	14.4258333333333	-8.95472222222222	M4
GerPra	11-M5	B1A06	0.349444444444444	16	GerPra_M5	14.4258333333333	-14.0763888888889	M5
KnaArv	54-H1	B1A22	0.977222222222222	60	KnaArv_H1	7.7	-6.72277777777778	H1
KnaArv	54-H2	B2A03	20.7227777777778	60	KnaArv_H2	7.7	13.0227777777778	H2
KnaArv	54-H3	B3A14	9.1	60	KnaArv_H3	7.7	1.4	H3
KnaArv	54-H4	B4A01	0	60	KnaArv_H4	7.7	-7.7	H4
KnaArv	54-L1	B4A22	154.656111111111	4	KnaArv_L1	131.36	23.2961111111111	L1
